Emotion,Text
joy,kid do n feel z difference #careless
sadness,Im sorryMy cars taken 
sadness,oh new tweetdeck day use im feeling nice old tweetdeck #gettingwhatipayfor
joy,Love feeling baby kick :)
joy,Im overwhelmed amazing support people Ive connected twitter
joy,BROTHERS OUT BROTHERS OUT BROTHERS OUT #ProtectionAndSafety
fear,runner mind told sit week biggest fear told run again
joy,course 2 fat bitxhes row Eating food smells like farts
sadness,quarrel good friend fact pay visit expected come sad real quarrel
joy,  Ah yes 230am sleep time starting kick in #killjoy  damn sleep need it
joy,begining relations current girlfriend
anger,like  Ive told times tell 
sadness,grandfathers funeral remembered thing liked respected earth thought attained wanted separated longer
disgust,  corporations operate w/ avarice calculated coldness Fundamentally w/out human compassion #ows
joy,joy practice Mindfulness presence people love #loving kindness
sadness, depressed ditched  drank pints night squaddies  said prosecutor Graham Boal 
sadness,mood sweets shop closed
sadness,fare una ricerca quotofferte di lavoroquot su google fa venire la depressionecosìse non lo sapevate sapevatelo
sadness,want trip bad 12 years born raised there miss waves
neutral,Poor child 
disgust,Im trying watch Water ElephantsI cant Makes sick Worse know true animals
fear,river rafting Nev boat tipped sucked rocks got stuck think going die quiet water like care remember
sadness,Missing roomie   room empty #imscared #missingblue #kissesssss
joy,sleepy weekend fun day til school #hateit
joy,Oh good friend coming Christmas party cant come
surprise,Gloria stared  mouth agape  turned Ruth bewilderment 
sadness,extremely sad heard patient taking care hospital passed away abdominal pains
fear,big distraction lives create illusion accept Solutions $$
joy,getting ready Im getting ready start ny hamlet questions
sadness,4 years studying (+) Board exam = Low Salary Volunteer practice profession gtlt #RatedK
sadness,week ago Consol Energy Center getting ready JayZ Kanye West memorizing drugs
sadness,hate   s profile says quot   follow   quot
sadness,found door neighbor lost battle brain cancer died peacefully sleep #cancersucks
fear,Kids asking yo got beef right cool Lmao reason #bitchassness
joy,8 Hour Shift today WEEKEND best live weekend long hard
joy,feeling super
surprise,n half uurtje lindsay ophalen en dan naar balous place
joy,Thankful warm shower amp indoor plumbing frosty morning
anger,assholes reply sweet goodnight textSCREW YOU DONT EXPECT ACKNOWLEDGE AGAIN
neutral,Okay 
fear,Ppl hard time letting suffering fear unknown prefer suffering thats familiar 
sadness,Wenner fly issue instructions increasingly disconsolate staff Jagger pay bills 
joy,wonder : useful innovation mankind mind takes 5 instead promised 2 minutes
joy,outback dinner parents anniversary
sadness,best friends hurt girl loves
anger, mad father tried twist arm 
joy,  true oh gah thing know find twitter saying literally seriously
fear,“  afraid tomorrow seen yesterday love today #less”
fear,    Haha like seeing bear sober
fear,“  afraid tomorrow seen yesterday love today #less”
joy,met girlfriend town long separation
joy,5 day break/vacation needed Celebrate little things life God bless tweetpeeps
joy,Today happiest day life Email Libyan friend disappeared 10 months
fear,afraid tomorrow seen yesterday love today #less
fear,Im gettin SCARED Diabetes Issue time Enter 40s Too BEFORE :( Know #Weak :(
sadness,  oh gee feel better Nice try though
joy,⋰˚⋰⋰˚ quotThe present moment filled amp #Happiness attentive itquot— Thich Nhat Hanh ⋰˚⋰⋰˚❤⋰⋰˚ ⋰˚⋰⋰˚❤ ⋰⋰˚⋰
sadness,breakup liked
joy,away holiday 2 months friend lived interstate remembered Id phoned welcome home night arrival
sadness,Guess write paper(s) now
joy,Im ready Thursday work good food weird looks family members
surprise,Passed black Friday shopping
surprise,paused mother stared bewilderment 
fear,friend told horror story
sadness,Bombay twitter :(   ended soon
anger,terrible  night 
surprise,Pour linstant cest de la Bâle pour les Suisses Manchester United Sommer #jeudemotsRamoutchou
anger, ve got right mad  Mike 
fear,moved away home feared leaving
anger,banks  lost heavily  furious Bundesbank refusing compensate 
sadness,Horrible gaming   nite  received 1st Rough Day ribbon  quotMost Deaths Matchquot
anger,neglected undeservedly
surprise,  bro mentoring theres super cool spot had Buttttttttttt brownies 
sadness,find sad football tv trending turns that tweeters talk about :/
surprise,  Ik heb met dochterlief een reuzetoffee gemaakt van een heel wit casinobrood Ideaal zo klaar
disgust,past week twitter shown fake ppl ATL
fear,Anxious people acutely sensitized bodies  noticing minor bodily changes focus 
surprise,    nice mention twitter
fear,wants bacc  butt    ion kno mann 
surprise,Good start night lets up
anger,  going 2nd second stage Grief eh
sadness,officially ends stint karaoke RIP Mrs Kellis forget WOW shots attempts Afroman
anger,husband got picked new car drunken driving pact drink driver evening etc present time
surprise,Grocery shopping car parking lot literally flames #yourweekcouldbeworse
anger,believe excuse twice week 
joy,finished rewriting notes 3 times start writing new notes write 3 times
sadness,Cup thea stay strong cuz honey
joy,happier  settled 
joy,Hi like introduce friend Pat paraplegic    
joy,smiled  pleased displaying superiority 
joy,Happy manga day asik Area Kishi akhirnya nongol juga
joy,Follow   tweet #kids #books sure #smile
sadness,Moving unknown place away familiar surroundings situation loneliness
fear,Scraping terrifying  finish scrapping  body red  tortured  Cupping  body ends red circles  looks like beat 
joy,Loving Father morning grateful called son welcomed family
fear,factor coming Monday wahooo love
joy,bed eating melted millions watching day u thought happy love film bloody depressing
surprise,wake mom door #ok #what
fear,Damn dad wants talk tattoos found amp
joy,Mike Breaux finished Phillipians strong   live rebellious joy contentment #Gratitude
joy,horses excited upset goes bit wrong harness  chains ropes entangled feet 
anger,Fine  ’ start drinking home cooked meals low fat  happy 
joy,Do grieve joy LORD strength Nehemiah 8:10
joy,time qualified enter secondary school
fear,driving fast small road met oncoming car right handed bend driver road skid avoid collision dark
joy,tired amp able sleep hours working 8 9 pm tomorrow
fear,vague feeling gripes everytime think internet prescreening hell happening
joy,oh boyits time work
joy,damn roll paper time lift practice break homework day
neutral,Thank 
fear,person gets arrested want terrified knowing happen American custody
sadness,    bad europeans Allready claude figure bat wouldve nice :)
fear,Google maps street view muestra una clinica de proctologia en la direccion que dieron para una fiesta Creo que ire
joy,Welltime uniform unify rest team #SemiSarcasm
surprise,school fun today
fear,LA bound short hours early xmas gift   certainly big win PWG
anger,sight man ran amok (fighting) dance
surprise,Christmas parents shopping together buy want wrap tree 
anger,aunt told angrily goodfornothing fed behaviour
joy,got know accepted university
anger,Love dressing photo huge white board covering outift
fear,felt horror pity seeing Marcus confused evidently useless 
anger,hate narrow minded/arrogant people Wake hell up
joy,day begins Going squeeze time finish stockings projects
sadness,Looking pictures phone seeing pictures  
joy,muchWhat time 
joy,quotYou joy heart grain wine aboundquot (Ps4:7) True comes God anything/one
sadness,Im sorry 
fear,night got University saw strange people near car got near moved away came close again feeling assaulters left discovered windshield broken
joy,Cleaning house amp sewing today
surprise,happy Cena tonight interested heel turn build
joy,grinned  delighted mindreading 
sadness,Birthday tomorrow cant tiesto/Tinie tempah/ferry corsten/deadmau5
fear,oldest strongest fear oldest strongest kind fear #unknown
surprise,telling people u want Christmas best Christmas game
surprise,pup left peice chewed blanket bag   nice
sadness,band concert meeting exciting Im sad Ill miss glee big bang theory
joy, feel point actually exhilarated   said Nicola McIntyre San Francisco 
surprise,Hi mrs lane Yes u ppi refund No Im not u know Im financial advisor ohhe hung up
sadness,Father lost temper home mistreated work
anger,thought 
fear,quot  afraid tomorrow seen yesterday love today #lessquot
anger,icy tones  offended bureaucrat replied :  future reference  Mr Hooton  Richard  
joy,Oh gosh Snow time 2 years Ive seen it #GIDDYCHILD
surprise,  practicing birthday flash mob
neutral,met 
fear,  saying muslim hell fire
sadness,watches tv cant start watching 10 episodes
anger,Diehard fans miffed s left  s tough argue songs included 
fear,Yeah bout evry crew im in fall love wit RT #NewEnding #AE #TruArtEnt
joy,stop like half hour cause bladder size peanut
joy,Don’t forget 13 days tell brings chance win Body Shop products x
fear,felt  dismay sorrow people country share personal good fortune  
fear,  thing muslim anger instance bigots trying oppres women
joy,Today walk feeling like crap day neeeeeeed vacation #work #roadhouse
joy,Home TN Week school staring face
sadness,Ill tell day 
surprise,RT follow   WIN 5 special collector items giving away Twitter friends #RT #WIN
joy,heart feel closed experiencing receiving new #inspire #quote
fear,want  pay it watch system crash create shareconomy
joy,dog  delighted attention paid  raced ahead  scenting rabbits  great tail pluming 
surprise,SHROOOMMMSRT     best girlfriend ever taking trip today
joy,parade ended Santa rode in Christmas begun Listening Christmas music now ( 
anger,speeding forced slow pulled road proceeded abuse set traffic lights
fear,  Ready   rock party ROCKNES #supportIndyWrestling
surprise,guess okay theres huge dirt hole pool be
joy,reflectin grace God life #peace #freefromworry
surprise,2/2   info Im bit shocked city considering possibly displaying though
fear,turn shadow heart asking wTF got paranoid dark side
fear,living brother day went away business left look house property night thieves came wanted break house
sadness,depressed people withdraw  sleep lot day wakeful nights 
fear,quot  afraid tomorrow seen yesterday love today #lessquot
fear,RTE bunch politicians waiting live facing grumpy Sean ORourke nervous
surprise,  disposable cam night #yum #hashtag
fear,walking hill fell carelessness broke left arm
joy,Guy bus wolf whistles makes secret staring creepy way
sadness,love college student home Greenwood
joy,Morning day conference insurance regulation today
surprise,funny people humming loud probably think cant hear #ican #yousoundstupid
sadness,Hope soon RT   Silently dying Twitter explodes posts     
sadness,Im worried  doctor  Im afraid Im ill 
joy,periods life  felt contented  satisfied  angry  certainly angry  smug  remorseful  guilty 
surprise,Definitely feel hershey lightsnot good middle school
joy,Media exam tomorrow Guess Ill revise evening
sadness,blackberry died message need hold me
surprise,quotIm protesting fake tree real onequot   live youuuu
joy,YAY 24hrs finally gone spasm #winning
anger,Apple expect 4th time iPods stock order one Mugs
joy,día de desconexiónnos vamos para 3 noches sin díasya lo dijo palomo lo mejor del día pasa por la noche    
sadness,  yeah food satisfy #Ihateit
surprise,work would school shit #gonnabealongnight
joy,hope enjoying gorgeous day 70 degrees end November
joy,«  cant explainquotgive thatquot #MAILImusic #KirkFranklin» Gimme that dats JAM #8 album
sadness,  thats cuz famous bro happens girl wants dick love brag
neutral,Hi  Walter 
sadness,soon developed disillusion town s death toll grew ended jubilant relief unmixed sorrow memory townsfolk return 
neutral,
joy,Real Madrid team basket ball qualified final Europe Cup Athens
surprise,mom flanel sheets bed #soexcited #bestmomever #ilovebeinghome :)
joy,  know willl :) bright early 5:30 night night
fear,  2nd half results: Wolves SSB Generico Togo Steen/Dragon Bucks win tag titles
sadness,siento mal porque mi chino amigo decidio cerrar sus puertas en este dia feriado puedo ir comprar cosas un lugar cerca
sadness,sad think close group friends looking colleges year
joy,received positive answer appeal withdraw registration university
joy,Kari Jobe CHRISTmas music way beach
joy,  alors comme cest la risque de launcher sans savoir si va fucker de quoi dans notre departement
joy,happy 
surprise,Cant wait lil goofy smile
surprise,pa heeft mij en ik pa gaan gewoon ruilen
anger,Misunderstood close friend wrong reason
fear,year girl ran away father straight car forced use emergency brakes
fear,Angie killed spider plunger
anger,nt care re offended  s truth  
joy,Library Check job places Homework Dishes #busyafternoon
anger,dnt piss cuz yo face b like tht clock issues
shame,gazed embarrassed 
anger,going albums finding pictures ex demolishing shit  
anger,News night report vulture capitalists sure watch bed time
anger,know 
sadness,makes sad think growing 
sadness,Omg   likes short girls  isnt dating rebecca black :(
joy,  agree Great music good message Thx
sadness,dejected David Mellor  Royal Bank  told magazine Doctor :  led believe appropriate venue bank representative  
joy,rule begins: quotHappy happy oh friendquot Backwards Number Line
disgust,  Justin bieber electro hard bass fm getting baaad
surprise,  Interesting fact: BoinxTV works better use 420p material instead 1080 pixel video
sadness,remember spend day best friend shed rarely talk : /
joy,learned repress child adultbegin embrace
fear,    true conversation with hes cool #fire #war #pestilence
joy,surge elation rushed body read note time  unable believe implications reading 
sadness,happy Ive got phone back Sounds sad like life
surprise,  arrive home today well come bearing gifts
joy,bed till work 230
joy,Yes 
anger,Laying bed tired cant fall asleep Ya happens
sadness,grandfather died
joy,Glad allergy medicine held hour Loved puppy getting sickuntil now
sadness,100 followers end week change Ill eating cheese amp eggs noon weekday
neutral,Dream 
neutral,guess 
fear,problem  sir  remember future 
joy,        w/son Took mock photo LEAPING 4 hr OfficeMax logo wall
joy,months trying contain excitement thought compact disc 
joy,Day ThanksGiving Break     Boring Ol School 
anger,face livid  hand clapped sword 
surprise,  sisters wrap presents once
surprise,Physics test AP Bio test Math test wednesday kwoker
joy,Washing machine Ruinedddd  laundrette
fear,  #DEATH the greatest realities v point invoking 2
anger,FUCKING STUPID ASS EFFECTS RESPONDING  #hp
disgust,Dayton sewers reek Pizza Hut
anger,cant bear anymore  sick drinking  divorcing 
surprise,School making wanna punch babies :( #surprise
joy,loving snow makes great atmosphere day homework #usualsundayroutine
sadness,upstairs neighbors sad absolutely blaring Joni Mitchells Blue #overshare
joy,Thank  Lisa 
sadness,left sisters house staying days little boys warm people (the family) time need sort contact grew fond children (no Im paedophiliac)
sadness,moments family treat like family
fear,examination: fealing learned enough
fear,Yo cards dealt life  aint playem right juss knowin u let tuck night
sadness, nt help  shall miserable life 
joy,remembered amusement underwear evening Sleet  subsided laughter  infectious 
joy,gr8 time night Twitter Facebook texts phone calls forms bday wishes THANKS
sadness,Determinedly worries root cause despondency tried think cheerfully 
disgust,Im bored class im actually counting dandruff boys head im getting shampoo christmas lol
neutral,Oh  yeah 
surprise,Happy birthday   bart #loveyou
fear,  mean Archie Manning said complimentary things us #gohogs
anger,swear shop street market China  terrible place excellent profiteers  eye comes paying 
sadness,room contact  loneliness drains me
joy,gotta love Isaiah said quotWith joy draw water wells salvationquot (Isaiah 12:3 NIV)
fear,  Bordel elle sort doù Miss Bretagne 
anger,new Pret Manger Soho poorly designed crowds like walking Fifth Circle hell
joy,Oh  thats great  want try later 
fear,afraid academic results face problems scared limitations unlimited problems know cope them
joy,Hate submitted essay took forever given do
joy,midnight im asleep n school #xABut snowin like crazy housee
shame,young farm worker enjoys leg pulled taunts  yokel   country bumpkin pubs discothques eventually ashamed admitting occupation 
neutral,exam 
joy,Hes bringing hopeless giving heart broken sharing home orphan  #JOY
joy,Confined apartment til AbeGabe born
neutral,
joy,knew feelings beloved person
sadness,received message elder brother involved car accident admitted hospital
sadness,Time Grandmas Christmas tree wish Grandpa home enjoy too
disgust,Morning breath sleep
anger,day lent tennis washed sister asked it asked soil washed it day looked tennis dirty wax soiled it lack consideration felt angry
neutral,
joy,took entrance exams successfully got school leaving certificate delivering ceremony extremely official
neutral,starts 8
sadness,mamas health craze Wheat bread wheat pasta salad dinner WHYY
fear,Necromancians gt Affaire du policier mort pas mort mort : N adepte dAbdul AlHazred  #Necronomicon quotquot
joy,Family Christmas pictures today
joy, boys totally happy initially undisciplined children visiting home generally regular basis 
fear,asked bring present father found reliable person afraid father presents angry me
anger,face darkened anger 
joy,time brigade year time sister bear child mad joy opened telegram parents learned nephew
sadness,sad Johnny Bryan truly member particular family 
surprise,great way end week Looking forward deserved relaxing weekend #merrymerryhappy
joy,sister stealing clothes 
fear,  toss 2004 aside 1999 turn Smith new Millennium
sadness,felt sad heard friend committed suicide
joy,cheese onion pasty favours either feel slightly ill im bus
sadness,look think fun child
fear,«  afraid tomorrow seen yesterday love today #less»
disgust,thing heard turned tv morning Bob Costas amp Jerry Sandusky digging grave
surprise,Bier Check Rode Wodka Check Mojito Check Jagermeister Check Oh ja en hebben ook eten #vanavond #partyen
sadness,missed leadership training today
fear,Life short live it rare grab it Anger bad dump it awful face it #Memories sweet cherish them
joy,    Oreo tasteless found Jacobs Cream Crackers discount store backLOL
fear,  Non  Genre avec Andy Woody Monsieur Patate et tout 
anger,felt teacher unreal marks
fear,friends father died come friend know family
sadness,Ei tuleggimi da qui se vuoi Su fb ti ho oscurato Non mi va che pensino che io sia
joy,Watching 6 year olds fight mommy play house
anger,’ boat  ’ eaten fast food week  hate 
sadness,grandfather died thirteen years ago
sadness,got home seeing 1 follower makes sad
sadness,bored school able marry children
joy,started walking  followed excited crowd 
anger,God im mad burning fuckin stomach
fear,wanted violinist  real ambition  anxious grips instrument 
sadness,think Im going cos America thats like £30 + postage import tax
surprise,Oh nee Móet nog afmaken Maar ben op de bank geploft Wat num #dtv
disgust,not mehh think cute tho #FOH good luck girl coz #imnottheone
fear,Suddenly found lasr leave anatomy room
joy,day received key apartment enter it fianceand bought plans impossible happen
surprise,Maybe need (said one) Im walking w/a blanket wrapped me Hmm #Surprise
joy,surely know  forget regular customer 
disgust,Marc anthony fuckin rat
surprise,wearing athletic pants school
joy,4 miserable hours left work
sadness,Feeling tired cant sleep emotions running body #happiness
sadness,failed subjects year
joy,Playing small potential unfair world ~   gtgtgt True Live life ALIVE body PROUD #tip
fear,academic year ie 1983/1984 closure surrounded threatened paramilitary forces
disgust,roommate dorm room smells weird D:
fear,mother seriously ill admitted hospital
joy,Yes  received scholarship 3 times end 
sadness,try  lot gossip 
joy,blah pract love sick
joy,Brunch writing papers studying day night
surprise,awkward moment Thanksgiving company unloads luggage says theyre staying week #thankfulforwine
joy,Advertisers said delighted proposals reflected Government s approach 
fear,real nightmare years trying pulse down
joy,giving :) RT   Sounds cheesy like recievers happiness gift recieve
anger,cancel   appointment amazing work sure house day
anger,recall thinking home soon Mother angry missing supper 
joy,drop scotch occasional periods selfcriticism helped happy  time happy 
sadness,mid season finally Walking Dead it
joy,hospital tomorrow morning strapped wires treadmill
fear,drizzy time favorite song :) RT   think called venting
joy,Test Class Comics
joy,lovely lib
neutral, clean house study  stayed bed watched TV 
sadness,cute guys think Im attractive think Im attractive
fear,Eeee leave Friday morning LA OMG
neutral,
surprise,chemistry class getting help asian classmate
sadness,Sad day got denied indoor ruined life like 2 weeks
fear,“  guys jealous kinda cute (: girls jealous World war III starttruth ms general Amor
anger,drove car denied happened
joy,Hi  Mike 
fear,“  hope know yall reason fun ): lt3drakequot
fear,  thanks 4 me Great seeing u Hope u home safe BED hanging
joy,Article published
joy,Happy good reason
joy, young grandpas   said Linda  amazed overjoyed d idea able daughter s news 
surprise,hate sentence end way think octopus
surprise,Ima vox oomf minute sleep Lol
joy,Expressing delight appointed  said :  job hoped  
fear,window open door shut kitten out partner came started talking forgot window suddenly saw kitten hanging window frame rigid fright till got hold her
joy,Thank SOOO   blessed tonightI express thanks #blessed
joy,rock quarry middle school pep club house realized annoying middle schoolers
anger,Thank god gym Let tonight
sadness,refused  feel saddened  disappointed  inconvenienced  selfconcept shattered 
joy,siblings plugged ipods sleeping 2 mad parents theres me
anger,friends asked shopping her friend coming along outing kept talking felt left out tried talk listen pay attention
joy,husband suddenly came new job brought flowers cake him
joy,Working 9 hour shift black friday #oldnavy
neutral,Awhat 
fear,*SMH* Muting TV ruin visual  #xFACTOR
anger,army treated unfairly superiors held responsible deed innocent
surprise,weather warning north east
neutral,explain feelings 
surprise,Coming home camp new redone room gtgtgtgt
sadness,Women traditionally grief men 
sadness,’ pity  arrange time hopefully 
anger,incensed  stunned  action  stood rigid anger felt slime roll cheek 
sadness,despondent needy 
joy,season Im giving God problems 4 solutions sickness 4 healing insecurity 4 touch garment
sadness,aware Alain s black anger Marguerite feeling sorrow leaving house 
joy,guard hearts were unable let #love reach us Open amp trust #inspire #quote
joy,Terrible nights sleep Time work side lamb dinner tea tonight Im cooking it #Ilovemybestfriendsmum
sadness,think broke butt bone
sadness,yesterday heartbroken wife Jane slammed police failing find raised alarm 48 hours earlier 
joy,Going concert
neutral,Whoa 
anger,mistreated people
joy,new born child
fear,says: remember happened time #FAITH saysquot time time FAITH TRUST God
surprise,Im gonna knotted wash cloth ass pull right cum
joy,Awesome toy sale able help 30 + families equaling 110 kids Thanks helped
fear,OMG King Kong est dans la place 
surprise,Great paper tomorrow English bullshit
fear,sinking in apologize offended/annoyed/embarrassed night #hatemyself #neverdrinkingagain
anger,subject false accusations got angry
anger,friend tried bite false grounds wonder good friend
joy,time 10 years desk legs fit #beenlivinglikeaFrenchdwarf
joy,personal little mini breakdown
anger,BLACK EYES ended  trailing thinner line puzzled viewers  exasperated critics  nagging question  went wrong 
joy,Family Christmas party oh
joy,Passing drivers examination (after failures)
joy,Gonna time curled warm today mucking stables 3 shetties horses friday
fear, updating UEFI BIOS tomorrow  time new :/  lets hope #BSoD away 
disgust,Right mind feeling like idiot getting mad wrong know better
sadness,again RT   Oh dear downtown Quiznos quotOut Businessquot sign door
surprise,Hier wordt hard gewerkt aan een voor j met visuele handicap Veul knopjes :) #mamamagknippen #Ipad
anger,Noone told face absolutely livid Sukey  want row  upset Daisy gee Perdita interview 
neutral,’ think makes sense  minutes short time 
sadness,know  upset  mean  come  boyfriend says 
fear,going hike wonderfully peachy idea brown snake slithering boot
joy,round hospital appointments Megantoday low vision test
sadness,Thinking moods suck
joy,awkward moment friends crush texts help know do
fear,  finding socks sweater sleeve bar thebulge
fear,passenger jumbojet accelerating runway point takeoff pilot suddenly braked engines reverse thrust obviously urgent attempt stop aircraft hostesses signs concern thought runway path danger hitting it
fear,come you let fear creep mind drain #hope amp eat away #faith
anger, Jane  darling  s s mad hate 
fear,armed robbers broke house night
sadness,  Im goodest thnks Im gauteng moment getting bk nxt week missing #Headlines U well
anger,trick intolerable hid it worried restless day saw wanted slap them
anger,bury killed it bury quotliving angerquot functions seed amp grows Bitterness Tree
joy,Spontaneous picnic sister friend children  great
joy,  nearly lost dad month anaphylactic shock need family x
joy,Ohh messy breakfast mine ☺
sadness,lost job  boss told 
joy,Trying hide enormous delight return  Juliet turned David 
anger,Holding like holding grenade pulling pin 1:Its stupid 2:it/you going explode moment
joy,Work boring i twitter random people walk time time
joy,pick outfits family pictures Alone
joy,  taking break christmas shopping
fear,came work day friends son told come school lost
sadness,found supervisor (after college) passed away year wish Id known cool dude
joy,Jazzy moving like shit 
joy,holiday season rocks
anger,went dining hall found cooks cleaning plates food me blue birds (security guards) busy eating food supposed me
sadness,Im ganna miss people English class semester
sadness,Oh   Thats bad news 
joy,Soooooo yeah think Im gonna start posting newest fan fiction gonna wait till finish Im excited :D
sadness,WTF victoria secret yogas stock anymore
anger,Ive silly things life night takes biscuit
neutral,guess 
joy,Finally sleep 2 days
surprise,  female fight club beat #shit
neutral, Saturday cleaned house played tennis  Sunday hiked country 
neutral,possible sources use topic  suggest use computer computer list scientific journal talks children television 
fear,Rt“  afraid tomorrow seen yesterday love today #less”
joy,Listening worship music gym things good soul
joy,  similar 10 7x2 girls ignore completely boy likes till bollock him
sadness,want watch single disney movie have cant VHSplayer broken
joy,Gotta love driving home topless
neutral,’ break line  ’ impatient  ’ line soon 
sadness,Rosemary Sandford Darlington Association Disability  said saddened disappointed given opportunity express views meeting 
sadness,  cant access Ustream miss missed concert south africa cant :(
joy,getting worknow attempting Christmas tree
anger,Im wrong sex  course 
joy,strained  happy smiles lie awful knowledge Alex saw killer  young understand going 
sadness,Lives Janet Barron praises good grief Ted Walker
surprise,Woke nice    #UpAllNight automatically downloaded ready play phone :) Yaaay
joy,  got baby girl Dont worry nothing focus pretty baby girl thats world =
anger,Gazza blazing mad training ground  discussion  misinterpreted bustup 
neutral,definitely 
joy,good deed day work
joy,Scoared goal football match
joy,Finished music history paper Happy day Tralalalalalala
joy,Lmfao love Jazzy :p RT     decided needed haircut took self ug
neutral,Goodbye 
sadness,want watch Dexter :( Showtime Episode 1 (season 6) up
joy,Humor amp understanding role plays life bringing wealth richnessotherwise #StayFarAwayFromMeIf
surprise,Came room Aaron came laying couch watching tv waiting somebody come living room
joy,Arrivée la bibliothèque Amélie dans le 7eme arrondissement je viens de souvenir pourquoi je voulais venir Paris
joy,joy /via   hold brother nice wheel 20s
joy,Im AMAZING mood lol ^^ totally needed ) lol aaah
joy,meet old past pupils  find  feel joy Yesterday met young woman (20 yrs) Id taught 6 yrs 12 yrs seen 34 yrs longer waitress meter maid Council
joy,Celebrations graduation day orchestra playing garden ( orchestra)
joy,Working till 9 1250 word research paper
fear,People popular movement different kind disquiet leadership PLO 
neutral,yes 
sadness,gladly bet ANYONE 10 years pro college teams Washington State bring title home
joy,parents talking dogs belly button
neutral,think 
joy,allow past steal Future  
anger,got rage building inside n think Im gunna blow soon
joy,understood mother s wedding  necessary expected appear contented 
anger,’ weird traveling Beijing LA  huge time difference  left Beijing noon flew hours  arrived LA day noon  ’ like went time 
joy,pregnant guy test tomorrow 
joy,Therefore brethren dearly beloved longed for crown stand fast #Lord dearly beloved
disgust,  antiWashington climate right Im curious voter participation election day
anger,woman affronted 
fear,moment panic toilet seat slips whilst wiping arse
anger,funny  Whats wrong today  secretary supposed talk tone voice  know 
joy,sister born
joy,spending time night making tons flashcards
fear,dawning anticipated hen day/night arriveddun dun dun
fear,believe lies look eyes scared me scared me
anger,  UGH HATE PHONE #denial
sadness,Hmm  bad 
sadness,s reason feel dejected future 
joy,want disney movie marathon madness Thanks Dinsey pandora station
surprise,  ask better ) lolol warning time
sadness,heart heart   today
fear,Attempting 2 bake Thanksgiving pies pumpkin pecan mom wants cuz dad let buy store :(
joy,Awake 3am Thinking Advent  #love possible #gospel Jesus #fb
joy,day got married happiest day life felt right way doubts compatibility right day got engaged
anger,sure 
joy,Saved Satans power gone astray
sadness,worst feelings world: finally admitting lost summery glow Hello pale winter
joy,finished homeworkk cleaned room practice few #thelife #notreally #ilovevolleyballthough lt3
anger,  auto corrected phone spelled wrong text 
joy,met girl asked date agreed (I thought girl like me) emotion joy
sadness,home New Years Eve
surprise,Gorobag oom watiRT   nampak ada yang baru warna item di garasi *tutup mata dulu*
fear,“  afraid tomorrow seen yesterday love today #less”
joy,lil bro finally moved home #superstoked #fightawaybrotha #lol
joy,  eat duck night
disgust,bitch mall today lmao
sadness,proper relationship friendship back
fear,let amp open door spirit jezebel
fear,weak emotion thats despise it
sadness,Wow  sounds like lot fun  sorry missed 
sadness,Psalm 13 question mdashHow long shall l counsel soul  sorrow heart daily 
anger,Really   quotBlack Fridayquot tune Rebecca Blacks quotFridayquot ruined radio #NotEvenThanksgivingYet
sadness,sorry  sir  booked 9:10 
surprise,  +1 ka na mare Meet ka daw nya dun sa wedding Lol
joy,Embrace emotional uncertainty called
surprise,Ready paranoia Satan: associated w/color red love distract away Jesus Christmas N: SaNta
sadness, guess clean room
surprise,Woke morning mom beating apt window hour away home scarier that #letmesleep
joy,day boyfriend appeared home pair rings wedding
sadness, 
joy,Listenin   sleeep basically 9am Lol class 5 hours
fear,road car lorry bypassed us swerve got run over
joy,got store…got sip evening :)
joy,Long day filled unfinished math homework ahead
fear,  yes run ball beat deep win  Spear
surprise,Maggie astonished determination score 
joy,studio picking pictures family #sarcasim
joy,Break seen inspired awe Remember senses #LJB
neutral,weathermans predictions accurate  rain tomorrow 
joy,Tis season cherry cordial Hershey kisses
surprise,got hours sleep woke beautiful voice come work  
anger,ew awful feeling want feel people feel like everyday
joy,Got damn Im tired shit Bad day plans messed
joy,Nw: Laugh Pain | Kevin Heart
disgust,whiner RT   Ok kewllllll 3 day rain snowing #getmeoutofcleveland
joy,acabado con dolor de garganta un tajo en el pie derecho
fear,wish lyrics   tattood body thatd big ass tattoo
surprise,Cest maintenant confirmé Nous aurons toute une activité pour la Nuit Blanche de   Détails à venir
anger,know worse actions kicks
sadness,Frustrated stressed  guess posed enjoy happiness
sadness,    im sad hilarious lunch joeys gone :(
fear,walking little village night steet dog began bark felt following me began run dogs started barking too arrived home
sadness,Found gray hair today
fear,Giving try owl lamp #sleeptweet
disgust,hate ugly dyke bitches vagina reason #YourUgly
anger,  YEAH CREDIT
fear,think stalking 
surprise,time person develops unique sense humor I hand simply rape you
disgust,ugh bum niggas sick
joy,sure  Im glad rain  names Mike Gates  way 
joy,Break remember fell love Feel expansive joy loving #LJB
sadness, stole things 
neutral,ahead 
joy,Sitting eating soup watching degrassi reruns
neutral,Yes 
anger,  ok :( good hashtag love getting evil feelings way
sadness,  Im totally sober Im home
sadness,moment realize cant head perfect fairytale hes moved on
joy,received letter acceptance university
sadness,forgetting el tarasco wc liquor license anymore #whatswrongwiththeworld
fear,Believe Theres Love u Wanna Share  Ill Good Care u Lady
joy,Like Tyler Creator Song W Frank Ocean
neutral,know 
fear,find blocking think spam alot lol do damn weird thing semi LOL
surprise,Colis de pains depices de la de les parents Une bonne 
neutral,
neutral,Pardon 
